user_id,business_id,prediction
39FT2Ui8KUXwmUt6hnwy-g,uW6UHfONAmm8QttPkbMewQ,4.8086967112752435
yy7shAsNWRbGg-8Y67Dzag,rS39YnrhoXmPqHLzCBjeqw,2.976066794738699
DKolrsBSwMTpTJL22dqJRQ,RADloW1UROUn4FJFU4JJNg,3.5843343140267603
renPzRDqMZpMaHiCD_e1_A,xTlmLL2xZZ0xhZ2J16zXQQ,3.881123336070849
Nhk0jTP2gkU12G4LHJVR3A,FaHADZARwnY4yvlvpnsfGA,3.9962261962796344
N3oNEwh0qgPqPP3Em6wJXw,LNGBEEelQx4zbfWnlc66cw,4.091353478506735
2YiBYO8n32upYTJnpWgqLg,l_-4l8JwZbAn75Q1sfI7zQ,2.8776336619316654
d_uSfozaAZR4OpDNa8IiZQ,2KduMkQeDDgVHwsOGoIi_A,2.9314649247339033
swqSj4zuamI_HFfPTj63Hg,n7V4cD-KqqE3OXk0irJTyA,3.341162101494229
_ijx1PqANQVFLGNWCibdig,LOWn1xi9PfG2kxrUuC21nA,3.832037079877981
6Jbd0G-MyiXFXdPwMoEcZQ,cTbFJzHQzFSX-z3JF4abKQ,3.525834771015297
FmtnXwc_eyvpIv1Q1-bVCQ,kRSTvmQaiWB2Dk5dhxat7g,4.05867805203801
CapjGj9mWWL6P_eQChu-5g,xtDZdPaHwhAwoo77QV9Oeg,3.3266051481017533
3UY0P5vAPTavFNTqqE2nVw,azsyGov8GFJswGxcqIn71g,3.6514155439799034
C2C0GPKvzWWnP57Os9eQ0w,RRw9I8pHt5PzgYGT2QeODw,3.821921766
mswloq-IjRr9yXLhBqBPAw,8xTuXU5uZ85WF-ZGqDNv_w,3.9617337292341612
I-4KVZ9lqHhk8469X9FvhA,qE9yIXn2GQb2-4a_qOOKzg,3.8285639684593704
d5WLqmTMvmL7-RmUDVKqqQ,7q7qaGPUUCqMljdIGwzvFQ,4.244368283617275
XOgqs74hkbXT54mSp7JMRA,i2dnic7VdQ3NyiQQWUXHbA,4.5527812315128875
M4yYtAXehUzaHB1ghl6EXg,MpmFFw0GE_2iRFPdsRpJbA,4.061934313038002
